procName,ImagePath,parentProc,NumberOfInstances,UserAccount,LoadedDlls,ChildProcs,GrandParentProcs,Ports,Notes
dwm.exe,C:\Windows\system32\dwm.exe,winlogon.exe,1,DWM-1,"dwm.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,apphelp.dll,ucrtbase.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,combase.dll,gdi32.dll,win32u.dll,gdi32full.dll,msvcp_win.dll,USER32.dll,dwmredir.dll,dxgi.dll,udwm.dll,OLEAUT32.dll,CoreMessaging.dll,dxcore.dll,dwmcore.dll,D3DCOMPILER_47.dll,CRYPTSP.dll,IMM32.DLL,d2d1.dll,XmlLite.dll,uxtheme.dll,dwmghost.dll,dwmapi.dll,directxdatabasehelper.dll,ntmarta.dll,kernel.appcore.dll,avrt.dll,ism.dll,WINTRUST.dll,powrprof.dll,CRYPT32.dll,cfgmgr32.dll,shcore.dll,PROPSYS.dll,bcrypt.dll,dcomp.dll,CoreUIComponents.dll,wintypes.dll,UMPDC.dll,MSASN1.dll,bcryptPrimitives.dll,CRYPTBASE.DLL,clbcatq.dll,windowmanagementapi.dll,d3d11.dll,D3D10Warp.dll,rsaenh.dll,imagehlp.dll,WindowsCodecs.dll,gpapi.dll,gameinput.dll,wuceffects.dll,Windows.Gaming.Input.dll,UIAnimation.dll,twinapi.appcore.dll,DispBroker.Desktop.dll,OneCoreUAPCommonProxyStub.dll,ActXPrxy.dll,DispBroker.dll,Windows.Graphics.dll,wtsapi32.dll,WINSTA.dll,mscms.dll,Cabinet.dll,TextShaping.dll,COMCTL32.dll",,,,
everything.exe,C:\Program Files\Everything\Everything.exe,"services.exe,explorer.exe",2,USER,"Everything.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,WS2_32.dll,RPCRT4.dll,SHLWAPI.dll,msvcrt.dll,USER32.dll,win32u.dll,GDI32.dll,COMCTL32.dll,gdi32full.dll,msvcp_win.dll,ucrtbase.dll,comdlg32.dll,combase.dll,shcore.dll,SHELL32.dll,ADVAPI32.dll,sechost.dll,ole32.dll,IMM32.DLL,uxtheme.dll,urlmon.dll,iertutil.dll,srvcli.dll,netutils.dll,kernel.appcore.dll,bcryptPrimitives.dll,windows.storage.dll,wintypes.dll,OLEAUT32.dll,CFGMGR32.dll,clbcatq.dll,propsys.dll,profapi.dll,apphelp.dll,NetworkExplorer.dll,WindowsCodecs.dll,Windows.System.Launcher.dll,msvcp110_win.dll,windows.staterepositorycore.dll,MSCTF.dll",,,,
explorer.exe,C:\Windows\explorer.exe,null,2,USER,"explorer.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,RPCRT4.dll,OLEAUT32.dll,shcore.dll,advapi32.dll,msvcrt.dll,sechost.dll,shlwapi.dll,user32.dll,win32u.dll,GDI32.dll,gdi32full.dll,SHELL32.dll,AEPIC.dll,TWINAPI.dll,USERENV.dll,powrprof.dll,windows.storage.dll,dxgi.dll,kernel.appcore.dll,PROPSYS.dll,WTSAPI32.dll,WININET.dll,UxTheme.dll,dwmapi.dll,SspiCli.dll,twinapi.appcore.dll,NETAPI32.dll,wintypes.dll,DSREG.DLL,bcryptPrimitives.dll,ntmarta.dll,UMPDC.dll,IMM32.DLL,dxcore.dll,NInput.dll,MSCTF.dll,ole32.dll,comctl32.dll,clbcatq.dll,appresolver.dll,profapi.dll,OneCoreUAPCommonProxyStub.dll,CFGMGR32.dll,apphelp.dll,NetworkExplorer.dll,StartTileData.dll,usermgrcli.dll,OneCoreCommonProxyStub.dll,Windows.StateRepositoryPS.dll,Windows.ApplicationModel.dll,AppXDeploymentClient.dll,urlmon.dll,iertutil.dll,netutils.dll,srvcli.dll,IDStore.dll,bcrypt.dll,SAMLIB.dll,wlidprov.dll,policymanager.dll,msvcp110_win.dll,Bcp47Langs.dll,windowsudk.shellcommon.dll,wkscli.dll,XmlLite.dll,WindowsCodecs.dll,windows.staterepositorycore.dll,windows.staterepositoryclient.dll,Taskbar.dll,winsta.dll,DWrite.dll,SLC.dll,d2d1.dll,SndVolSSO.DLL,MMDevAPI.DLL,DEVOBJ.dll,OLEACC.dll,CoreMessaging.dll,Windows.UI.dll,Windows.UI.Immersive.dll,dcomp.dll,dataexchange.dll,TileDataRepository.dll,StateRepository.Core.dll,Windows.StateRepository.dll,explorerframe.dll,wpnclient.dll,Windows.CloudStore.dll,SettingsHandlers_DesktopTaskbar.dll,twinui.pcshell.dll,wincorlib.DLL,windows.immersiveshell.serviceprovider.dll,twinui.appcore.dll,twinui.dll,AppExtension.dll,MrmCoreR.dll,languageoverlayutil.dll,bcp47mrm.dll,textinputframework.dll,TextShaping.dll,thumbcache.dll,edputil.dll,VAULTCLI.dll,cldapi.dll,FLTLIB.DLL,Wldp.dll,sppc.dll,CRYPTBASE.DLL,ApplicationFrame.dll,ntshrui.dll,cscapi.dll,HolographicExtensions.dll,ResourcePolicyClient.dll,EhStorShell.dll,SETUPAPI.dll,cscui.dll,AboveLockAppHost.dll,Windows.System.Launcher.dll,pfclient.dll,InputHost.dll,Windows.UI.Core.TextInput.dll,Windows.Shell.BlueLightReduction.dll,Windows.Web.dll,directxdatabasehelper.dll,mscms.dll,Windows.Internal.Signals.dll,Windows.Internal.ShellCommon.dll,TaskFlowDataEngine.dll,cdp.dll,StructuredQuery.dll,Windows.Data.Activities.dll,Windows.Security.Authentication.Web.Core.dll,Windows.Devices.Enumeration.dll,MSWB7.dll,DevDispItemProvider.dll,Windows.Internal.UI.Shell.WindowTabManager.dll,clipc.dll,NotificationControllerPS.dll,ActXPrxy.dll,Windows.Networking.Connectivity.dll,lockcontroller.dll,d3d11.dll,PCShellCommonProxyStub.dll,d3d10warp.dll,CoreUIComponents.dll,UIAnimation.dll,Windows.UI.Xaml.dll,WindowsInternal.ComposableShell.DesktopHosting.dll,WindowsInternal.ComposableShell.Experiences.Switcher.dll,TileControl.dll,TaskFlowUI.dll,WindowsInternal.ShellUI.dll,Microsoft.UI.Xaml.dll,VCRUNTIME140_1_APP.dll,VCRUNTIME140_APP.dll,MSVCP140_APP.dll,UiaManager.dll,WindowManagementAPI.dll,mssprxy.dll,Windows.UI.Xaml.Controls.dll,SyncCenter.dll,ShellCommonCommonProxyStub.dll,cryptngc.dll,daxexec.dll,container.dll,dmEnrollEngine.DLL,cflapi.dll,winbio.dll,wosc.dll,cryptsp.dll,CRYPT32.dll,npmproxy.dll,UIAutomationCore.DLL,IPHLPAPI.DLL,NSI.dll,dusmapi.dll,rmclient.dll,samcli.dll,MFPlat.DLL,RTWorkQ.DLL,stobject.dll,sxs.dll,Windows.UI.Shell.dll,LINKINFO.dll,BatMeter.dll,WMICLNT.dll,es.dll,prnfldr.dll,SwitcherDataModel.dll,ExplorerExtensions.dll,Windows.Globalization.dll,windows.media.devices.dll,atlthunk.dll,dxp.dll,SHDOCVW.dll,Actioncenter.dll,Syncreg.dll,Windows.FileExplorer.Common.dll,WINTRUST.dll,MSASN1.dll,rsaenh.dll,imagehlp.dll,gpapi.dll,AudioSes.dll,CompPkgSup.DLL,pnidui.dll,netprofm.dll,NetworkUXBroker.dll,dhcpcsvc6.DLL,dhcpcsvc.DLL,EthernetMediaManager.dll,dot3api.dll,MobileNetworking.dll,wpdshserviceobj.dll,PortableDeviceTypes.dll,PortableDeviceApi.dll,cscobj.dll,wlanapi.dll,CapabilityAccessManagerClient.dll,srchadmin.dll,windows.storage.search.dll,bthprops.cpl,InputSwitch.dll,NetworkIcon.dll,bluetoothapis.dll,imapi2.dll,Windows.Energy.dll,threadpoolwinrt.dll,directmanipulation.dll,Windows.ApplicationModel.LockScreen.dll,coml2.dll,virtdisk.dll,windows.internal.shell.broker.dll,wuceffects.dll,wscinterop.dll,WSCAPI.dll,wscui.cpl,gdiplus.dll,werconcpl.dll,framedynos.dll,DiagnosticDataSettings.dll,wer.dll,hcproviders.dll,IEProxy.dll,wevtapi.dll,icu.dll,msxml6.dll,storageusage.dll,nlmproxy.dll,Windows.Internal.Graphics.Display.DisplayEnhancementManagement.dll,pcacli.dll,MPR.dll,sfc_os.dll,ServicingCommon.dll,cryptnet.dll,WINNSI.DLL,PhotoMetadataHandler.dll,dlnashext.dll,StartMenu.dll,DUI70.dll,DUser.dll,Windows.UI.FileExplorer.dll,Windows.Graphics.dll,vmhgfs.dll,VERSION.dll,VCRUNTIME140.dll,p9np.dll,drprov.dll,ntlanman.dll,davclnt.dll,WINMM.dll,WorkFoldersShell.dll,IconCodecService.dll,rometadata.dll,ieframe.dll,WINHTTP.dll,msIso.dll,Secur32.dll,MLANG.dll,UserDataTimeUtil.dll,twext.dll,shellext.dll,7-zip.dll,smartscreenps.dll,licensemanagerapi.dll,capauthz.dll,zipfldr.dll,CHARTV.dll,Windows.Services.TargetedContent.dll,winmmbase.dll,wdmaud.drv,ksuser.dll,AVRT.dll,msacm32.drv,MSACM32.dll,midimap.dll,DesktopSwitcherDataModel.dll,tiptsf.dll,acppage.dll,sfc.dll,profext.dll,cdprt.dll,WS2_32.dll,PlayToDevice.dll,EhStorAPI.dll,mmcshext.dll,AdaptiveCards.ObjectModel.Uwp.dll,hhsetup.dll,AdaptiveCards.Rendering.Uwp.dll,ondemandconnroutehelper.dll,mswsock.dll,DNSAPI.dll,fwpuclnt.dll,rasadhlp.dll,schannel.DLL,mskeyprotect.dll,NTASN1.dll,ncrypt.dll,ncryptsslp.dll,DPAPI.DLL,webio.dll,wpnapps.dll,wslsupport.dll,execmodelproxy.dll,wpdshext.dll",,,,
fontdrvhost.exe,C:\windows\System32\fontdrvhost.exe,"winlogon.exe,wininit.exe",2,UMFD-#,"fontdrvhost.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msvcp_win.dll,ucrtbase.dll,win32u.dll,fontdrvhost.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msvcp_win.dll,ucrtbase.dll,win32u.dll",,,,
LockApp.exe,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe,svchost.exe,1,USER,"LockApp.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,combase.dll,ucrtbase.dll,RPCRT4.dll,user32.dll,win32u.dll,GDI32.dll,gdi32full.dll,msvcp_win.dll,shcore.dll,msvcrt.dll,sechost.dll,policymanager.dll,wincorlib.DLL,winbio.dll,dwmapi.dll,msvcp110_win.dll,IMM32.DLL,kernel.appcore.dll,bcryptPrimitives.dll,Windows.UI.Xaml.dll,d2d1.dll,powrprof.dll,UMPDC.dll,iertutil.dll,advapi32.dll,twinapi.appcore.dll,WinTypes.dll,windows.staterepositorycore.dll,OneCoreUAPCommonProxyStub.dll,urlmon.dll,srvcli.dll,netutils.dll,OLEAUT32.dll,uxtheme.dll,CoreMessaging.dll,dxgi.dll,dxcore.dll,directxdatabasehelper.dll,ntmarta.dll,d3d11.dll,d3d10warp.dll,dwrite.dll,TextShaping.dll,Windows.ApplicationModel.dll,MrmCoreR.dll,windows.staterepositoryclient.dll,profapi.dll,Windows.UI.dll,languageoverlayutil.dll,bcp47mrm.dll,Windows.Globalization.dll,Bcp47Langs.dll,CoreUIComponents.dll,RMCLIENT.dll,InputHost.dll,CRYPTBASE.DLL,MSCTF.dll,UiaManager.dll,WindowManagementAPI.dll,windows.ui.core.textinput.dll,TextInputFramework.dll,Windows.UI.Immersive.dll,DataExchange.dll,lockappbroker.dll,shlwapi.dll,ole32.dll,SHELL32.dll,dcomp.dll,Windows.UI.Xaml.Controls.dll,ContentDeliveryManager.Utilities.dll,slc.dll,threadpoolwinrt.dll,windows.internal.shell.broker.dll,ShellCommonCommonProxyStub.dll,OneCoreCommonProxyStub.dll,Windows.ApplicationModel.LockScreen.dll,Windows.Services.TargetedContent.dll,SspiCli.dll,Windows.Graphics.dll,directmanipulation.dll,bcrypt.dll,USERENV.dll,profext.dll,Windows.Storage.ApplicationData.dll,MtcModel.dll,NInput.dll,UIAnimation.dll,Windows.Shell.ServiceHostBuilder.dll,execmodelproxy.dll",,,,
lsaiso.exe,C:\Windows\system32\lsaiso.exe,wininit.exe,1,NT AUTHORITY\SYSTEM,null,,,,
lsass.exe,C:\Windows\system32\lsass.exe,wininit.exe,1,NT AUTHORITY\SYSTEM,"lsass.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,RPCRT4.dll,lsasrv.dll,ucrtbase.dll,msvcp_win.dll,LSAADT.dll,sechost.dll,samsrv.dll,CRYPT32.dll,bcrypt.dll,ncrypt.dll,NTASN1.dll,Wldp.dll,msvcrt.dll,bcryptprimitives.dll,msprivs.DLL,netprovfw.dll,JOINUTIL.DLL,MSASN1.dll,negoexts.DLL,CRYPTSP.dll,CRYPTBASE.dll,kerberos.DLL,USERENV.dll,KerbClientShared.dll,WS2_32.dll,gpapi.dll,cryptdll.dll,mswsock.dll,msv1_0.DLL,NtlmShared.dll,netlogon.DLL,gmsaclient.dll,tspkg.DLL,advapi32.dll,SspiCli.dll,pku2u.DLL,cloudAP.DLL,profapi.dll,aadcloudap.dll,combase.dll,ntmarta.dll,kernel.appcore.dll,MicrosoftAccountCloudAP.dll,DPAPI.DLL,rsaenh.dll,wdigest.DLL,schannel.DLL,efslsaext.dll,dpapisrv.dll,SspiSrv.dll,KDCPW.DLL,scecli.DLL,DNSAPI.dll,IPHLPAPI.DLL,NSI.dll,winsta.dll,netutils.dll,wevtapi.dll,shcore.dll,ncryptsslp.dll,ncryptprov.dll,dssenh.dll,mskeyprotect.dll,keyiso.dll,AUTHZ.dll,ngcpopkeysrv.dll,PCPKsp.dll,tbs.dll,wtsapi32.dll,SecureTimeAggregator.dll,cryptnet.dll,vaultsvc.dll,clbcatq.dll,user32.dll,win32u.dll,GDI32.dll,gdi32full.dll,MPR.dll,secur32.dll,logoncli.dll,DSPARSE.dll,cryptngc.dll,certpoleng.dll,wkscli.dll,WLDAP32.dll",,,,
Memory Compression,null,System,1,NT AUTHORITY\SYSTEM,null,,,,
MpCopyAccelerator.exe,null,MsMpEng.exe,1,NT AUTHORITY\SYSTEM,,,,,
msdtc.exe,C:\Windows\System32\msdtc.exe,services.exe,1,NT AUTHORITY\NETWORK SERVICE,"msdtc.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,combase.dll,ucrtbase.dll,RPCRT4.dll,msvcrt.dll,MSDTCTM.dll,OLEAUT32.dll,msvcp_win.dll,sechost.dll,ole32.dll,GDI32.dll,win32u.dll,gdi32full.dll,USER32.dll,WS2_32.dll,ADVAPI32.dll,MSDTCPRX.dll,SHLWAPI.dll,MSDTCLOG.dll,MTXCLU.DLL,WINMM.dll,CLUSAPI.dll,bcrypt.dll,XOLEHLP.dll,MSWSOCK.dll,DNSAPI.dll,ktmw32.dll,RESUTILS.dll,CRYPTSP.dll,IPHLPAPI.DLL,NSI.dll,kernel.appcore.dll,bcryptPrimitives.dll,COMRES.DLL,msdtcVSp1res.dll,mtxoci.dll,wkscli.dll,cscapi.dll,netutils.dll,sspicli.dll,ntmarta.dll,clbcatq.dll,FirewallAPI.dll,fwbase.dll,FWPolicyIOMgr.dll",,,,
msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,msedge.exe,2,USER,"msedge.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msedge_elf.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,CRYPTBASE.DLL,bcryptPrimitives.dll,USER32.dll,win32u.dll,GDI32.dll,gdi32full.dll,msvcp_win.dll,ucrtbase.dll,IMM32.DLL,uxtheme.dll,combase.dll,MSCTF.dll,msedge.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msedge_elf.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,CRYPTBASE.DLL,bcryptPrimitives.dll,msedge.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,WINMM.dll,bcrypt.dll,crypt32.dll,dbghelp.dll,dhcpcsvc.dll,ffmpeg.dll,iphlpapi.dll,ncrypt.dll,NTASN1.dll,secur32.dll,uiautomationcore.dll,USERENV.dll,version.dll,winhttp.dll,winspool.drv,wintrust.dll,MSASN1.dll,ws2_32.dll,msedge.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msedge_elf.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,CRYPTBASE.DLL,bcryptPrimitives.dll,msedge.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,WINMM.dll,USER32.dll,win32u.dll,GDI32.dll,gdi32full.dll,IMM32.DLL,bcrypt.dll,crypt32.dll,dbghelp.dll,dhcpcsvc.dll,ffmpeg.dll,iphlpapi.dll,ncrypt.dll,NTASN1.dll,secur32.dll,uiautomationcore.dll,USERENV.dll,version.dll,winhttp.dll,winspool.drv,wintrust.dll,MSASN1.dll,ws2_32.dll,NSI.dll,nlansp_c.dll,dhcpcsvc6.DLL,DNSAPI.dll,mswsock.dll,rasadhlp.dll,ntmarta.dll,ncryptprov.dll,msedge.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msedge_elf.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,CRYPTBASE.DLL,bcryptPrimitives.dll,msedge.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,WINMM.dll,USER32.dll,win32u.dll,GDI32.dll,gdi32full.dll,IMM32.DLL,bcrypt.dll,crypt32.dll,dbghelp.dll,dhcpcsvc.dll,ffmpeg.dll,iphlpapi.dll,ncrypt.dll,NTASN1.dll,secur32.dll,uiautomationcore.dll,USERENV.dll,version.dll,winhttp.dll,winspool.drv,wintrust.dll,MSASN1.dll,ws2_32.dll,ole32.dll,kernel.appcore.dll,uxtheme.dll,dxgi.dll,dxcore.dll,directxdatabasehelper.dll,ntmarta.dll,mf.dll,mfplat.dll,shcore.dll,cfgmgr32.dll,RTWorkQ.DLL,msmpeg2vdec.dll,mfperfhelper.dll,dxva2.dll,msvproc.dll,windows.staterepositorycore.dll,DolbyDecMFT.dll,D3DCompiler_47.dll,libglesv2.dll,libegl.dll,dwmapi.dll,vulkan-1.dll,vk_swiftshader.dll,MSCTF.dll,msedge.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msedge_elf.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,CRYPTBASE.DLL,bcryptPrimitives.dll,version.dll,ntmarta.dll,ucrtbase.dll,combase.dll,ole32.dll,msvcp_win.dll,GDI32.dll,win32u.dll,gdi32full.dll,USER32.dll,IMM32.DLL,kernel.appcore.dll,uxtheme.dll,clbcatq.dll,msedge.dll,OLEAUT32.dll,WINMM.dll,Windows.System.Profile.PlatformDiagnosticsAndUsageDataSettings.dll,DiagnosticDataSettings.dll,twinapi.appcore.dll,USERENV.dll,gpapi.dll,SHLWAPI.dll,shcore.dll,wkscli.dll,netutils.dll,bcrypt.dll,crypt32.dll,dbghelp.dll,dhcpcsvc.dll,ffmpeg.dll,iphlpapi.dll,ncrypt.dll,NTASN1.dll,secur32.dll,uiautomationcore.dll,winhttp.dll,winspool.drv,wintrust.dll,MSASN1.dll,ws2_32.dll,MSCTF.dll,powrprof.dll,UMPDC.dll,dwrite.dll,COMCTL32.dll,DPAPI.dll,nlansp_c.dll,NSI.dll,dhcpcsvc6.DLL,DNSAPI.dll,netprofm.dll,npmproxy.dll,textinputframework.dll,SHELL32.dll,windows.storage.dll,wintypes.dll,Windows.UI.dll,profapi.dll,SETUPAPI.dll,DEVOBJ.dll,cfgmgr32.dll,WTSAPI32.dll,WINSTA.dll,Windows.System.Launcher.dll,msvcp110_win.dll,windows.staterepositorycore.dll,mscms.dll,usermgrcli.dll,Windows.Security.Authentication.Web.Core.dll,OneCoreCommonProxyStub.dll,iertutil.dll,PROPSYS.dll,LINKINFO.dll,libsmartscreenn.dll,NETAPI32.dll,TenantRestrictionsPlugin.dll,Windows.Web.dll,SspiCli.dll,mswsock.dll,wlanapi.dll,MobileNetworking.dll,FirewallAPI.dll,fwbase.dll,FWPolicyIOMgr.dll,windows.staterepositoryclient.dll,capauthz.dll,apphelp.dll,AppExtension.dll,CRYPTSP.dll,rsaenh.dll,cryptnet.dll,wevtapi.dll,Windows.System.UserProfile.DiagnosticsSettings.dll,telclient.dll,oneds.dll,Windows.Networking.Connectivity.dll,sxs.dll,nlmproxy.dll,BitsProxy.dll,IrisService.dll,dxcore.dll,Windows.Security.Authentication.OnlineId.dll,execmodelclient.dll,execmodelproxy.dll,vaultcli.dll,aadWamExtension.dll",,,,
msedgewebview2.exe,MULTIPLE,"msedgewebview2.exe,Widgets.exe",2,HOST,"msedgewebview2.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msedge_elf.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,CRYPTBASE.DLL,bcryptPrimitives.dll,msedge.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,WINMM.dll,USER32.dll,win32u.dll,GDI32.dll,gdi32full.dll,IMM32.DLL,bcrypt.dll,crypt32.dll,dbghelp.dll,dhcpcsvc.dll,ffmpeg.dll,iphlpapi.dll,ncrypt.dll,NTASN1.dll,secur32.dll,uiautomationcore.dll,USERENV.dll,version.dll,winhttp.dll,winspool.drv,wintrust.dll,MSASN1.dll,ws2_32.dll,ole32.dll,kernel.appcore.dll,uxtheme.dll,dxgi.dll,dxcore.dll,directxdatabasehelper.dll,ntmarta.dll,mf.dll,mfplat.dll,shcore.dll,cfgmgr32.dll,RTWorkQ.DLL,msmpeg2vdec.dll,mfperfhelper.dll,dxva2.dll,msvproc.dll,windows.staterepositorycore.dll,DolbyDecMFT.dll,D3DCompiler_47.dll,libglesv2.dll,libegl.dll,dwmapi.dll,vulkan-1.dll,vk_swiftshader.dll,MSCTF.dll,d3d11.dll,d3d10warp.dll,CoreMessaging.dll,clbcatq.dll,dcomp.dll,msedgewebview2.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msedge_elf.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,CRYPTBASE.DLL,bcryptPrimitives.dll,msedge.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,WINMM.dll,USER32.dll,win32u.dll,GDI32.dll,gdi32full.dll,IMM32.DLL,bcrypt.dll,crypt32.dll,dbghelp.dll,dhcpcsvc.dll,ffmpeg.dll,iphlpapi.dll,ncrypt.dll,NTASN1.dll,secur32.dll,uiautomationcore.dll,USERENV.dll,version.dll,winhttp.dll,winspool.drv,wintrust.dll,MSASN1.dll,ws2_32.dll,nlansp_c.dll,NSI.dll,dhcpcsvc6.DLL,DNSAPI.dll,mswsock.dll,rasadhlp.dll,ntmarta.dll,ncryptprov.dll,msedgewebview2.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msedge_elf.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,CRYPTBASE.DLL,bcryptPrimitives.dll,msedge.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,WINMM.dll,bcrypt.dll,crypt32.dll,dbghelp.dll,dhcpcsvc.dll,ffmpeg.dll,iphlpapi.dll,ncrypt.dll,NTASN1.dll,secur32.dll,uiautomationcore.dll,USERENV.dll,version.dll,winhttp.dll,winspool.drv,wintrust.dll,MSASN1.dll,ws2_32.dll,msedgewebview2.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msedge_elf.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,CRYPTBASE.DLL,bcryptPrimitives.dll,msedge.dll,OLEAUT32.dll,msvcp_win.dll,ucrtbase.dll,combase.dll,WINMM.dll,bcrypt.dll,crypt32.dll,dbghelp.dll,dhcpcsvc.dll,ffmpeg.dll,iphlpapi.dll,ncrypt.dll,NTASN1.dll,secur32.dll,uiautomationcore.dll,USERENV.dll,version.dll,winhttp.dll,winspool.drv,wintrust.dll,MSASN1.dll,ws2_32.dll,dwrite.dll,msedgewebview2.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msedge_elf.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,CRYPTBASE.DLL,bcryptPrimitives.dll,version.dll,ntmarta.dll,ucrtbase.dll,windows.staterepositoryclient.dll,combase.dll,windows.staterepositorycore.dll,kernel.appcore.dll,ole32.dll,msvcp_win.dll,GDI32.dll,win32u.dll,gdi32full.dll,USER32.dll,IMM32.DLL,capauthz.dll,uxtheme.dll,clbcatq.dll,msedge.dll,OLEAUT32.dll,WINMM.dll,Windows.System.Profile.PlatformDiagnosticsAndUsageDataSettings.dll,DiagnosticDataSettings.dll,twinapi.appcore.dll,USERENV.dll,gpapi.dll,SHLWAPI.dll,shcore.dll,wkscli.dll,netutils.dll,bcrypt.dll,crypt32.dll,dbghelp.dll,dhcpcsvc.dll,ffmpeg.dll,iphlpapi.dll,ncrypt.dll,NTASN1.dll,secur32.dll,uiautomationcore.dll,winhttp.dll,winspool.drv,wintrust.dll,MSASN1.dll,ws2_32.dll,MSCTF.dll,powrprof.dll,UMPDC.dll,dwrite.dll,COMCTL32.dll,DPAPI.dll,nlansp_c.dll,NSI.dll,dhcpcsvc6.DLL,DNSAPI.dll,textinputframework.dll,SHELL32.dll,windows.storage.dll,wintypes.dll,Windows.UI.dll,profapi.dll,SETUPAPI.dll,WTSAPI32.dll,WINSTA.dll,DEVOBJ.dll,cfgmgr32.dll,mscms.dll,Windows.Security.Authentication.Web.Core.dll,OneCoreCommonProxyStub.dll,iertutil.dll,PROPSYS.dll,dwmapi.dll,dataexchange.dll,dcomp.dll,libsmartscreenn.dll,NETAPI32.dll,Windows.Media.dll,atlthunk.dll,OLEACC.dll,directmanipulation.dll,wofutil.dll,CRYPTSP.dll,rsaenh.dll,cryptnet.dll,vaultcli.dll,Windows.Web.dll,Windows.StateRepositoryPS.dll,TenantRestrictionsPlugin.dll,netprofm.dll,npmproxy.dll,Windows.System.UserProfile.DiagnosticsSettings.dll,telclient.dll,oneds.dll,Windows.Networking.Connectivity.dll,Windows.System.Diagnostics.Telemetry.PlatformTelemetryClient.dll,usermgrproxy.dll,usermgrcli.dll,BitsProxy.dll,wevtapi.dll,SSPICLI.DLL,sxs.dll,msedgewebview2.exe,ntdll.dll,KERNEL32.DLL,KERNELBASE.dll,msedge_elf.dll,advapi32.dll,msvcrt.dll,sechost.dll,RPCRT4.dll,CRYPTBASE.DLL,bcryptPrimitives.dll,USER32.dll,win32u.dll,GDI32.dll,gdi32full.dll,msvcp_win.dll,ucrtbase.dll,IMM32.DLL,uxtheme.dll,combase.dll,MSCTF.dll,aadWamExtension.dll,fwpuclnt.dll,WINNSI.DLL",,,,
MsMpEng.exe,C:\ProgramData\,services.exe,1,NT AUTHORITY\SYSTEM,null,,,,
NisSrv.exe,null,services.exe,1,NT AUTHORITY\LOCAL SERVICE,null,,,,
